Representative,AvgTradeReturn,AvgSPYReturn,AvgExcessReturn,NumTrades,WinRate,BeatSPYRate,Party
John Fetterman,0.38166289573273265,0.17634061691557,0.2053222788171627,8,0.75,0.625,Democratic
Tina Smith,0.21620582143021264,0.055327648125121455,0.1608781733050912,5,0.8,0.8,Democratic
Susan W. Brooks,0.2140948088605127,0.20569357396360322,0.00840123489690947,12,1.0,0.5833333333333334,Republican
Austin Scott,0.2116432759213028,0.036359655531548005,0.1752836203897548,40,0.55,0.525,Republican
Michael Garcia,0.19443450113728353,0.050237474431494476,0.14419702670578904,20,0.65,0.65,Republican
Daniel Meuser,0.17770376843858016,0.15405171094383074,0.023652057494749412,8,1.0,0.75,Republican
David H. McCormick,0.17307820104183824,0.022318248265922457,0.15075995277591578,22,0.9090909090909091,0.8181818181818182,Republican
Adam Kinzinger,0.16986907874493218,0.09346816710781748,0.07640091163711467,23,0.6956521739130435,0.5217391304347826,Republican
Kelly Loeffler,0.1658573660147629,0.15849160028004297,0.007365765734719916,79,0.8860759493670886,0.4810126582278481,Republican
Kelly Louise Morrison,0.13302917222027863,0.05795876506799402,0.07507040715228461,5,0.8,0.8,Democratic
Maria Elvira Salazar,0.1258137406482716,0.09763992360201759,0.028173817046254022,34,0.7352941176470589,0.4411764705882353,Republican
Ron Wyden,0.12200529236456062,0.07787304239287142,0.0441322499716892,172,0.8081395348837209,0.6162790697674418,Democratic
Steve Chabot,0.1177324520374957,-0.018557190317987637,0.13628964235548333,7,1.0,1.0,Republican
Morgan Mcgarvey,0.11678921949357467,0.030306425272550327,0.08648279422102434,8,0.625,0.5,Democratic
Linda T. Sánchez,0.10776669980145469,0.07423801030839756,0.033528689493057116,6,0.8333333333333334,0.6666666666666666,Democratic
Luis V. Gutierrez,0.10158922774190016,0.016505139859289364,0.08508408788261079,6,1.0,1.0,Democratic
Christopher L. Jacobs,0.09627279594595373,0.045295614400837826,0.050977181545115914,102,0.7352941176470589,0.5882352941176471,Republican
Katie Britt,0.09113506342567801,0.09909879242985763,-0.007963729004179625,16,0.75,0.5625,Republican
Laurel Lee,0.08760892643533351,0.040207841797649545,0.047401084637683964,7,0.7142857142857143,0.7142857142857143,Republican
David Cheston Rouzer,0.08039426998463972,0.05400695504364287,0.026387314940996855,7,0.8571428571428571,0.42857142857142855,Republican
Dan Sullivan,0.07940845768763757,-0.0036991764232056487,0.08310763411084322,19,0.8421052631578947,0.8421052631578947,Republican
John James,0.07294502977261381,0.06776855841222557,0.005176471360388231,123,0.8048780487804879,0.4796747967479675,Republican
Jefferson Shreve,0.07108538826512364,0.06847859147195884,0.0026067967931647966,190,0.6736842105263158,0.45263157894736844,Republican
John Curtis,0.0695914916949712,0.07278596977340508,-0.003194478078433893,124,0.717741935483871,0.4838709677419355,Republican
Dean Phillips,0.06906301152686363,0.06740002681996783,0.0016629847068958083,411,0.7177615571776156,0.4793187347931874,Democratic
Blake Moore,0.06637162935851285,0.059964249568638564,0.00640737978987429,71,0.8309859154929577,0.5915492957746479,Republican
Tim Moore,0.06360117561638695,0.03517541971667377,0.028425755899713183,141,0.5815602836879432,0.475177304964539,Republican
Thomas R. Carper,0.06309197407872133,0.04443753754354281,0.01865443653517852,350,0.6485714285714286,0.48857142857142855,Democratic
Angus King,0.06252773260074024,0.04825398655870522,0.014273746042035032,34,0.7058823529411765,0.5,Independent
Kevin Yoder,0.0619388185572913,0.03809072163850899,0.023848096918782313,11,0.7272727272727273,0.7272727272727273,Republican
Kathy Castor,0.06115141855328961,0.05936017037192253,0.0017912481813670677,23,0.7391304347826086,0.5652173913043478,Democratic
"Charles J. ""Chuck"" Fleischmann",0.060117875449499994,0.03270081455516964,0.027417060894330353,8,0.75,0.5,Republican
Doug Lamborn,0.05852451742540547,0.026056722668745945,0.03246779475665953,5,1.0,0.8,Republican
Ashley B. Moody,0.05715023609179633,0.024416857671797687,0.03273337841999864,15,0.6,0.4,Republican
Rob Bresnahan,0.05706905256457013,0.05882015525047067,-0.0017511026859005454,231,0.6190476190476191,0.4155844155844156,Republican
HON. GREG STANTON,0.05630392461866052,0.06715506715506714,-0.010851142536406618,92,0.7065217391304348,0.4782608695652174,Democratic
Ritchie John Torres,0.05223555651036729,0.04351007009934465,0.008725486411022648,61,0.6229508196721312,0.4426229508196721,Democratic
Trey Hollingsworth,0.0507978403782077,0.02776245971668624,0.023035380661521457,9,0.7777777777777778,0.4444444444444444,Republican
Cleo Fields,0.05079217114067842,0.03650966087810563,0.014282510262572783,146,0.6438356164383562,0.4726027397260274,Democratic
John A. Boehner,0.050086215153742675,0.014437836010522636,0.03564837914322004,7,0.8571428571428571,0.5714285714285714,Republican
Cheri Bustos,0.05008542436727351,0.03497437920856458,0.01511104515870893,11,0.8181818181818182,0.6363636363636364,Democratic
Nicholas Van Taylor,0.0500472628657703,0.06735043998873126,-0.017303177122960964,42,0.6428571428571429,0.4523809523809524,Republican
Tom Malinowski,0.04995248174567878,0.03674792535570583,0.013204556389972958,145,0.5586206896551724,0.47586206896551725,Democratic
James E. Banks,0.04847934045791079,0.023028610348368662,0.02545073010954213,23,0.6086956521739131,0.4782608695652174,Republican
David B. Mckinley,0.04786846705404087,0.050379015364266394,-0.0025105483102255306,217,0.6497695852534562,0.5299539170506913,Republican
Debbie Wasserman Schultz,0.04708408106982774,0.01400503174357067,0.03307904932625706,42,0.5476190476190477,0.5476190476190477,Democratic
Jeffry Flake,0.04578212175461134,0.04507115431076605,0.0007109674438452955,11,0.7272727272727273,0.45454545454545453,Republican
Susan A. Davis,0.04516228601560041,0.04859070358117892,-0.0034284175655785085,36,0.5833333333333334,0.4722222222222222,Democratic
Barbara J Comstock,0.04438691377462956,0.027822066848255167,0.016564846926374395,42,0.7380952380952381,0.5952380952380952,Republican
Mark Green,0.04387643636675885,0.04371130620297042,0.00016513016378843427,413,0.5835351089588378,0.4794188861985472,Republican
Greg Gianforte,0.04369689814175368,0.045351913206722536,-0.0016550150649688523,391,0.59846547314578,0.5089514066496164,Republican
Gilbert Cisneros,0.04361747646632934,0.0412893026348607,0.002328173831468643,1340,0.5888059701492537,0.46940298507462686,Democratic
Richard Dean Mccormick,0.0434612204593043,0.0479760397363962,-0.004514819277091903,57,0.7192982456140351,0.47368421052631576,Republican
Elizabeth Fletcher,0.04261419663072557,0.046683659771117034,-0.004069463140391461,22,0.7727272727272727,0.7272727272727273,Democratic
Jared Moskowitz,0.042439978155664776,0.044510134338685274,-0.002070156183020501,196,0.5663265306122449,0.4387755102040816,Democratic
Justin Amash,0.04138922288784103,0.06680634933385193,-0.025417126446010907,9,0.7777777777777778,0.2222222222222222,Libertarian
Randy Neugebauer,0.04114111476606566,0.01549718721647193,0.025643927549593732,17,0.6470588235294118,0.5294117647058824,Republican
Marjorie Taylor Greene,0.03946958421397669,0.0401768331941674,-0.000707248980190708,450,0.6044444444444445,0.4666666666666667,Republican
Brian Babin,0.03879773951093294,-0.011671018911848852,0.05046875842278179,6,0.5,0.6666666666666666,Republican
John D. Dingell,0.03788519810119171,-0.010554419525904043,0.048439617627095755,6,0.6666666666666666,0.8333333333333334,Democratic
Susie Lee,0.03787239744909388,0.04450645052545037,-0.006634053076356484,629,0.6263910969793323,0.48171701112877585,Democratic
Katherine M. Clark,0.03638855966745711,0.03826655881733551,-0.0018779991498783974,219,0.6575342465753424,0.5251141552511416,Democratic
Pat Roberts,0.036335136463670446,0.025928116885702342,0.010407019577968107,241,0.5850622406639004,0.5352697095435685,Republican
Andrew Garbarino,0.03622182284732347,0.009162398051862497,0.027059424795460973,5,0.6,0.6,Republican
Thomas H. Kean Jr,0.03575051759091533,0.03909107707752139,-0.0033405594866060522,60,0.6333333333333333,0.43333333333333335,Republican
C. Scott Franklin,0.03541598466809248,0.043618744611221484,-0.008202759943128997,70,0.7,0.42857142857142855,Republican
Kenneth R. Buck,0.03370154900043515,0.036649779183445454,-0.0029482301830103122,34,0.6176470588235294,0.4411764705882353,Republican
John A. Yarmuth,0.033002836352298365,0.046234664615018385,-0.013231828262720019,161,0.6459627329192547,0.4658385093167702,Democratic
Ed Perlmutter,0.03265477901940422,0.03295482192026026,-0.00030004290085603564,42,0.6190476190476191,0.5,Democratic
Michael G. Fitzpatrick,0.032604698184885164,0.02156732963786757,0.011037368547017593,19,0.7368421052631579,0.7368421052631579,Republican
Bill Cassidy,0.031027293458786936,0.037144952978939785,-0.006117659520152846,68,0.6176470588235294,0.4264705882352941,Republican
Cindy Axne,0.03019477902162564,0.022249268254582844,0.007945510767042795,67,0.6268656716417911,0.582089552238806,Democratic
William R. Keating,0.02874766036432934,0.016755112777174883,0.01199254758715446,74,0.6621621621621622,0.6081081081081081,Democratic
Markwayne Mullin,0.02847086439281752,0.01461691204534506,0.013853952347472462,247,0.5668016194331984,0.5222672064777328,Republican
Shelley Moore Capito,0.02839598904315891,0.029737862318959127,-0.0013418732758002183,226,0.6592920353982301,0.5088495575221239,Republican
Lou Barletta,0.028362050692926976,0.03338173033949277,-0.005019679646565792,28,0.6785714285714286,0.4642857142857143,Republican
Kevin Hern,0.027473730498157534,0.024630695607643083,0.0028430348905144494,515,0.5902912621359223,0.487378640776699,Republican
Robert P Corker Jr,0.026014402732297544,0.025252371893345702,0.0007620308389518446,421,0.6912114014251781,0.5581947743467933,Republican
Tommy Tuberville,0.025772445210822236,0.024784743186805753,0.0009877020240164846,425,0.5458823529411765,0.47058823529411764,Republican
John Hoeven,0.025695773193380227,0.022407203160928268,0.0032885700324519567,120,0.6166666666666667,0.5,Republican
Josh Gottheimer,0.02516037427323292,0.020858318536082544,0.004302055737150381,1313,0.5712109672505712,0.49504950495049505,Democratic
Greg Landsman,0.025121346436827254,0.020476664706145283,0.004644681730681972,54,0.5740740740740741,0.46296296296296297,Democratic
Mo Brooks,0.024766820574591897,0.03103722095624173,-0.006270400381649832,48,0.6041666666666666,0.4583333333333333,Republican
