Date,OpenPositions,CumPortfolio,CumSPY
2014-01-06,0,10000.0,10000.0
2014-01-07,1,10088.855979266937,10061.416977407325
2014-01-08,1,10161.051462421325,10063.61044088616
2014-01-09,33,10155.04618346518,10070.190831322656
2014-01-10,33,10205.310842890627,10097.609124808072
2014-01-13,33,10119.412544231958,9962.98530379469
2014-01-14,33,10183.375125703606,10071.835928931783
2014-01-15,33,10247.40027952517,10126.1241500329
2014-01-16,38,10290.977457249044,10112.963369159901
2014-01-17,50,10252.803266789277,10069.916648387802
2014-01-21,85,10289.644112534448,10099.802588286904
2014-01-22,85,10323.601000323988,10106.382978723404
2014-01-23,85,10236.60725413237,10023.579732397455
2014-01-24,86,10018.418798653804,9809.717043211229
2014-01-27,86,9926.964075098704,9761.460846676902
2014-01-28,88,9989.007692092637,9819.587628865978
2014-01-29,88,9890.387740014241,9725.268699276156
2014-01-30,88,9976.97888035444,9828.36148278131
2014-01-31,88,9931.052099294166,9770.783066461943
2014-02-03,88,9659.020488776876,9550.888352708926
2014-02-04,90,9754.570895404904,9617.514805878482
2014-02-05,91,9716.53805805455,9605.724939679752
2014-02-06,99,9823.714386426567,9732.397455582362
2014-02-07,106,9958.363189100804,9853.037946918184
2014-02-10,114,9985.496532779147,9871.134020618554
2014-02-11,114,10104.457338372998,9979.162096951084
2014-02-12,114,10116.764730641104,9984.097389778459
2014-02-13,120,10200.554815162064,10035.643781531036
2014-02-14,163,10220.756207126291,10091.028734371572
2014-02-18,165,10263.560239861055,10103.092783505153
2014-02-19,176,10188.021484149182,10036.192147400747
2014-02-20,175,10244.705885466714,10095.415661329236
2014-02-21,176,10250.404402801121,10083.899978065363
2014-02-24,176,10317.668076834314,10139.833296775609
2014-02-25,176,10275.751729211936,10135.994735687651
2014-02-26,176,10326.889156620726,10136.543101557358
2014-02-27,178,10373.931509712538,10189.734590919059
2014-02-28,178,10374.086675750685,10215.507786795348
2014-03-03,186,10299.118181025462,10143.671857863565
2014-03-04,186,10479.358433547883,10286.246983987718
2014-03-05,188,10479.998369758974,10295.569203772757
2014-03-06,191,10501.569727768516,10319.148936170213
2014-03-07,191,10471.485267449363,10323.535863127878
2014-03-10,162,10395.05506105752,10318.052204430795
2014-03-11,162,10333.846082366857,10267.054178547925
2014-03-12,162,10364.438794076204,10269.796007896468
2014-03-13,167,10220.93864951435,10154.639175257731
2014-03-14,201,10196.942302135463,10126.1241500329
2014-03-17,261,10266.128588216161,10217.701250274182
2014-03-18,249,10342.029968204113,10290.633910945382
2014-03-19,214,10291.315602517543,10235.797323974555
2014-03-20,214,10322.33355280484,10295.404694011844
2014-03-21,218,10260.862612156056,10210.572493967973
2014-03-24,218,10178.748441336784,10168.348322000438
2014-03-25,218,10196.850015658054,10216.604518534767
2014-03-26,219,10090.373728313747,10143.123491993858
2014-03-27,219,10043.989119792755,10121.737223075235
2014-03-28,228,10075.758391938865,10171.63851721869
2014-03-31,228,10196.120791356601,10254.990129414344
2014-04-01,236,10345.041306519752,10322.98749725817
2014-04-02,236,10378.198736389206,10357.534547049792
2014-04-03,235,10317.761436128765,10343.825400307083
2014-04-04,236,10137.000413511976,10221.539811362141
2014-04-07,236,9985.26080638303,10108.576442202237
2014-04-08,233,10051.498433075427,10150.252248300065
2014-04-09,233,10190.733324166556,10259.37705637201
2014-04-10,237,9948.542591988728,10043.595086641808
2014-04-11,244,9838.41989097872,9953.388901074795
2014-04-14,305,9913.309767509985,10031.810704101776
2014-04-15,262,9945.286038442464,10100.89932002632
2014-04-16,261,10058.17819560714,10206.459749945163
2014-04-17,253,10064.664083570597,10220.991445492431
2014-04-21,253,10103.409846801393,10256.63522702347
2014-04-22,253,10175.323121980522,10303.246325948672
2014-04-23,253,10142.91897261381,10279.118227681507
2014-04-24,253,10145.488112060491,10299.956130730423
2014-04-25,255,10028.103212449618,10215.507786795348
2014-04-28,253,10022.606958172304,10247.587190173283
2014-04-29,253,10081.875979850778,10295.569203772757
2014-04-30,248,10101.008785534534,10326.27769247642
2014-05-01,256,10120.55398299931,10327.100241280981
2014-05-02,256,10144.369982502803,10312.568545733713
2014-05-05,253,10150.101283964637,10332.309717043208
2014-05-06,253,10032.161468542125,10242.377714411055
2014-05-07,250,10049.126086136077,10302.697960078964
2014-05-08,260,10019.135445112277,10291.456459749947
2014-05-09,261,10066.404940642778,10307.08488703663
2014-05-12,261,10249.966201119312,10407.161658258388
2014-05-13,261,10212.830331057077,10416.758060978284
2014-05-14,198,10132.615807932798,10367.40513270454
2014-05-15,199,10049.22444513425,10276.376398332966
2014-05-16,206,10086.170294121963,10312.020179864005
2014-05-19,222,10156.947640003247,10349.857424873877
2014-05-20,230,10045.617746493925,10284.601886378592
2014-05-21,239,10107.142655118518,10371.243693792498
2014-05-22,239,10164.978229785615,10396.468523799078
2014-05-23,251,10232.35611261205,10438.144329896906
2014-05-27,240,10310.759710579649,10502.303136652776
2014-05-28,242,10292.700509939867,10494.626014476858
2014-05-29,234,10332.662593859715,10548.914235577977
