Ticker,Representative,Party,House,TransactionDate,ReportDate,EntryDate,ExitDate,EntryPrice,ExitPrice,TradeReturn,SPYReturn,ExcessReturn,Open,Engine
AVB,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,183.74,176.71,-0.03826058561010126,-0.019571847761668648,-0.018688737848432613,False,v1
ARES,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,176.0,108.85,-0.38153409090909096,-0.019571847761668648,-0.3619622431474223,False,v1
ITW,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,254.15,276.58,0.08825496753885487,-0.019571847761668648,0.10782681530052352,False,v1
INVH,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,28.1,25.97,-0.07580071174377234,-0.019571847761668648,-0.056228863982103694,False,v1
AMZN,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,240.93,213.49,-0.11389200182625658,-0.019571847761668648,-0.09432015406458794,False,v1
MSFT,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,478.51,409.41,-0.1444065954734488,-0.019571847761668648,-0.12483474771178016,False,v1
CVNA,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,88.088,65.652,-0.25469984560893644,-0.019571847761668648,-0.2351279978472678,False,v1
APO,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,152.7,108.14,-0.29181401440733457,-0.019571847761668648,-0.2722421666456659,False,v1
XEL,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,74.43,82.1,0.1030498454924087,-0.019571847761668648,0.12262169325407735,False,v1
CTSH,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,84.62,64.65,-0.23599621838808793,-0.019571847761668648,-0.21642437062641928,False,v1
SHW,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,340.09,333.4,-0.01967126348907644,-0.019571847761668648,-9.941572740779225e-05,False,v1
NVR,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,7239.73,6872.03,-0.05078918688956635,-0.019571847761668648,-0.031217339127897703,False,v1
WM,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,219.08,246.51,0.12520540441847716,-0.019571847761668648,0.1447772521801458,False,v1
FFIV,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,270.64,285.33,0.05427874667454913,-0.019571847761668648,0.07385059443621778,False,v1
IEX,Donald Trump,,,2026-01-06,2026-05-13,2026-01-06,2026-03-07,183.87,197.6,0.07467232283678671,-0.019571847761668648,0.09424417059845536,False,v1
NVR,Donald Trump,,,2026-01-07,2026-05-13,2026-01-07,2026-03-08,7146.45,6872.03,-0.03839948505901536,-0.016401287740363757,-0.021998197318651602,False,v1
ZTS,Donald Trump,,,2026-01-12,2026-05-13,2026-01-12,2026-03-13,125.32,115.62,-0.07740185126077237,-0.04728407848552851,-0.030117772775243856,False,v1
COST,Donald Trump,,,2026-01-12,2026-05-13,2026-01-12,2026-03-13,943.08,1008.43,0.06929422742503277,-0.04728407848552851,0.11657830591056129,False,v1
FIS,Donald Trump,,,2026-01-12,2026-05-13,2026-01-12,2026-03-13,66.24,49.7,-0.24969806763285018,-0.04728407848552851,-0.20241398914732167,False,v1
TXN,Donald Trump,,,2026-01-12,2026-05-13,2026-01-12,2026-03-13,189.07,190.78,0.009044269318241982,-0.04728407848552851,0.056328347803770495,False,v1
MSI,Donald Trump,,,2026-01-14,2026-05-13,2026-01-14,2026-03-15,389.23,470.79,0.20954191609074324,-0.03089692334434213,0.24043883943508537,False,v1
PNC,Donald Trump,,,2026-01-22,2026-05-13,2026-01-22,2026-03-23,222.0,203.93,-0.0813963963963964,-0.048767743621005,-0.0326286527753914,False,v1
MSFT,Donald Trump,,,2026-01-23,2026-05-13,2026-01-23,2026-03-24,465.95,372.74,-0.20004292306041416,-0.05230474587583256,-0.1477381771845816,False,v1
META,Donald Trump,,,2026-01-23,2026-05-13,2026-01-23,2026-03-24,658.76,592.92,-0.0999453518732164,-0.05230474587583256,-0.047640605997383845,False,v1
PNC,Donald Trump,,,2026-01-23,2026-05-13,2026-01-23,2026-03-24,219.39,206.35,-0.05943753133688856,-0.05230474587583256,-0.0071327854610560015,False,v1
SMCI,Donald Trump,,,2026-02-10,2026-05-13,2026-02-10,2026-04-11,33.33,25.97,-0.22082208220822086,-0.008697913656591338,-0.21212416855162952,False,v1
CME,Donald Trump,,,2026-02-10,2026-05-13,2026-02-10,2026-04-11,306.76,300.59,-0.020113443734515624,-0.008697913656591338,-0.011415530077924285,False,v1
GE,Donald Trump,,,2026-02-10,2026-05-13,2026-02-10,2026-04-11,316.33,311.9,-0.01400436253279802,-0.008697913656591338,-0.005306448876206682,False,v1
