Ticker,Representative,Party,House,TransactionDate,ReportDate,EntryDate,ExitDate,EntryPrice,ExitPrice,TradeReturn,SPYReturn,ExcessReturn,Open,Engine
AVB,Donald Trump,,,2026-01-06,2026-05-13,2026-05-14,2026-07-02,183.54,193.96,0.056772365696850846,-0.004531055776093695,0.06130342147294454,True,v2
MSI,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,399.33,422.66,0.05842285828763183,-0.004531055776093695,0.06295391406372552,True,v2
BA,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,229.21,226.49,-0.011866846996204328,-0.004531055776093695,-0.007335791220110632,True,v2
GE,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,291.54,377.52,0.2949166495163613,-0.004531055776093695,0.299447705292455,True,v2
CME,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,297.7,236.6,-0.20524017467248912,-0.004531055776093695,-0.20070911889639542,True,v2
SMCI,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,33.03,27.22,-0.17590069633666372,-0.004531055776093695,-0.17136964056057002,True,v2
META,Donald Trump,,,2026-02-12,2026-05-13,2026-05-14,2026-07-02,618.43,582.9,-0.057451934737965504,-0.004531055776093695,-0.05292087896187181,True,v2
NFLX,Donald Trump,,,2026-02-12,2026-05-13,2026-05-14,2026-07-02,86.94,77.65,-0.10685530250747632,-0.004531055776093695,-0.10232424673138263,True,v2
ADBE,Donald Trump,,,2026-02-12,2026-05-13,2026-05-14,2026-07-02,237.01,219.72,-0.07295050841736628,-0.004531055776093695,-0.06841945264127258,True,v2
HD,Donald Trump,,,2026-02-12,2026-05-13,2026-05-14,2026-07-02,304.35,357.9,0.17594874322326248,-0.004531055776093695,0.18047979899935618,True,v2
META,Donald Trump,,,2026-03-02,2026-05-13,2026-05-14,2026-07-02,618.43,582.9,-0.057451934737965504,-0.004531055776093695,-0.05292087896187181,True,v2
AAPL,Donald Trump,,,2026-03-11,2026-05-13,2026-05-14,2026-07-02,298.21,308.63,0.03494181952315478,-0.004531055776093695,0.03947287529924848,True,v2
GOOG,Donald Trump,,,2026-03-11,2026-05-13,2026-05-14,2026-07-02,397.17,356.18,-0.10320517662461925,-0.004531055776093695,-0.09867412084852556,True,v2
GOOG,Donald Trump,,,2026-03-12,2026-05-13,2026-05-14,2026-07-02,397.17,356.18,-0.10320517662461925,-0.004531055776093695,-0.09867412084852556,True,v2
AAPL,Donald Trump,,,2026-03-12,2026-05-13,2026-05-14,2026-07-02,298.21,308.63,0.03494181952315478,-0.004531055776093695,0.03947287529924848,True,v2
ICE,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,155.72,132.99,-0.14596712047264315,-0.004531055776093695,-0.14143606469654946,True,v2
ECL,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,248.88,283.36,0.13854066216650596,-0.004531055776093695,0.14307171794259965,True,v2
DPZ,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,304.01,311.66,0.025163645932699596,-0.004531055776093695,0.029694701708793292,True,v2
EFX,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,157.72,172.07,0.09098402231803182,-0.004531055776093695,0.09551507809412552,True,v2
TT,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,481.67,478.13,-0.007349430107750132,-0.004531055776093695,-0.002818374331656437,True,v2
ETN,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,408.1,398.52,-0.023474638568978246,-0.004531055776093695,-0.01894358279288455,True,v2
KMB,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,96.67,114.72,0.1867176993896762,-0.004531055776093695,0.1912487551657699,True,v2
EBAY,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,113.24,114.84,0.01412928293889082,-0.004531055776093695,0.018660338714984515,True,v2
HON,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,217.72,229.86,0.05575969134668379,-0.004531055776093695,0.06029074712277749,True,v2
WMT,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,132.46,111.84,-0.15566963611656348,-0.004531055776093695,-0.15113858034046979,True,v2
FTNT,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,121.86,156.25,0.282209092401116,-0.004531055776093695,0.2867401481772097,True,v2
ROP,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,317.95,364.2,0.14546312313256804,-0.004531055776093695,0.14999417890866173,True,v2
SO,Donald Trump,,,2026-03-17,2026-05-13,2026-05-14,2026-07-02,93.68,97.98,0.04590093936806139,-0.004531055776093695,0.050431995144155084,True,v2
CRM,Donald Trump,,,2026-03-18,2026-05-13,2026-05-14,2026-07-02,167.58,166.11,-0.00877192982456143,-0.004531055776093695,-0.004240874048467735,True,v2
AMZN,Donald Trump,,,2026-03-18,2026-05-13,2026-05-14,2026-07-02,267.22,242.67,-0.09187186587830265,-0.004531055776093695,-0.08734081010220895,True,v2
LRCX,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,299.15,351.41,0.17469496907905757,-0.004531055776093695,0.17922602485515127,True,v2
GOOG,Donald Trump,,,2026-03-23,2026-05-13,2026-05-14,2026-07-02,397.17,356.18,-0.10320517662461925,-0.004531055776093695,-0.09867412084852556,True,v2
ZTS,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,75.48,74.8,-0.009009009009009139,-0.004531055776093695,-0.004477953232915444,True,v2
DVA,Donald Trump,,,2026-02-10,2026-05-13,2026-05-14,2026-07-02,192.58,234.91,0.21980475646484576,-0.004531055776093695,0.22433581224093946,True,v2
ARES,Donald Trump,,,2026-01-06,2026-05-13,2026-05-14,2026-07-02,128.53,116.9,-0.0904847117404497,-0.004531055776093695,-0.085953655964356,True,v2
