Representative,Ticker,Sector,Committees,CommitteeMatch,NumBuys,FirstBuy,LastBuy,TotalTradeUSD,BestScore,AvgScore,BestBuyDate,LobbyUSD_±90d,ContractUSD_180d,DaysToLargestAward,LargestAwardUSD,LargestAwardAgency,StockMove_120d,Confidence
C. Scott Franklin,LMT,defense,House Committee on Appropriations,True,3,2022-09-12,2025-02-18,52003.0,0.8943835353853749,0.7622152248647619,2022-09-12,11242940.0,82444068.53,1.0,52375548.61,DEPARTMENT OF DEFENSE (DOD),0.10426619529906378,HIGH — verify against public record
Ro Khanna,LMT,defense,House Committee on Armed Services,True,17,2017-02-27,2020-05-20,31017.0,0.8887575947632135,0.68960229642979,2019-01-18,17423563.0,2505528032.5,6.0,528044959.0,DEPARTMENT OF DEFENSE (DOD),0.20907130483967906,HIGH — verify against public record
Gilbert Cisneros,PLTR,defense,House Committee on Armed Services,True,8,2025-01-24,2026-04-14,22008.0,0.8826620335590964,0.6772534643710475,2026-04-14,5455000.0,269617217.84999996,3.0,94687811.42,Department of Agriculture,,HIGH — verify against public record
William R. Keating,NOC,defense,House Committee on Armed Services,True,1,2021-03-17,2021-03-17,1001.0,0.8718759237987641,0.8718759237987641,2021-03-17,7855000.0,1638932882.9,7.0,291930500.0,DEPARTMENT OF DEFENSE (DOD),0.17242489615867607,HIGH — verify against public record
Ro Khanna,NOC,defense,House Committee on Armed Services,True,16,2017-04-03,2020-11-03,30016.0,0.8649743078222343,0.6481525956467687,2019-06-03,9255000.0,308527949.59,4.0,194747348.02,DEPARTMENT OF DEFENSE (DOD),0.19824721443930415,HIGH — verify against public record
Ro Khanna,MSFT,fedtech,House Committee on Armed Services; House Committee on Oversight and Government Reform,True,75,2017-02-27,2026-05-21,635075.0,0.8582853542657363,0.6791001712579995,2023-09-06,8855000.0,30994933.31,5.0,16036780.0,Department of State,0.1053232396058641,HIGH — verify against public record
Lois Frankel,GD,defense,House Committee on Appropriations,True,6,2022-05-04,2023-05-24,6006.0,0.8560886654674397,0.7489246934758081,2022-07-20,4137500.0,1002742861.9300001,8.0,562520000.0,DEPARTMENT OF DEFENSE (DOD),0.13750461424880034,HIGH — verify against public record
Josh Gottheimer,MSFT,fedtech,House Permanent Select Committee on Intelligence,True,70,2018-02-06,2026-05-19,18912070.0,0.848469277535163,0.6538304372032253,2021-10-28,7380000.0,4670455.59,1.0,2374491.9,DEPARTMENT OF DEFENSE (DOD),-0.0833667334669339,"MEDIUM — alignment present, award size/timing weaker"
Ro Khanna,BA,defense,House Committee on Armed Services,True,24,2017-07-05,2021-11-02,52024.0,0.8478956192110371,0.6044082930600334,2019-06-03,9280000.0,350741886.53,10.0,295282161.43,DEPARTMENT OF DEFENSE (DOD),0.10637670040426106,HIGH — verify against public record
Ro Khanna,GD,defense,House Committee on Armed Services,True,21,2017-04-03,2020-07-25,49021.0,0.8419262337887563,0.5933265605917208,2018-11-13,7724692.0,718234865.87,14.0,77288868.03,DEPARTMENT OF DEFENSE (DOD),-0.04642381163927156,HIGH — verify against public record
John Boozman,MSFT,fedtech,Senate Committee on Appropriations,True,8,2024-06-20,2026-03-05,8008.0,0.8418673100107704,0.6680390715884508,2024-06-20,6669000.0,21409322.119999997,1.0,8431014.74,Department of Justice,-0.06179044200134609,"MEDIUM — alignment present, award size/timing weaker"
Michael Patrick Guest,ORCL,fedtech,House Committee on Appropriations,True,1,2023-08-07,2023-08-07,1001.0,0.8374626243107062,0.8374626243107062,2023-08-07,8325000.0,27614074.15,4.0,24638342.53,Department of Veterans Affairs,-0.01352282515073211,HIGH — verify against public record
Ro Khanna,ORCL,fedtech,House Committee on Armed Services; House Committee on Oversight and Government Reform,True,49,2017-01-24,2026-05-27,147049.0,0.8369905766060527,0.5784793175941032,2025-01-17,7445000.0,39800830.21000001,5.0,37194885.42,Department of Veterans Affairs,-0.008631931938148263,HIGH — verify against public record
Kevin Hern,JNJ,pharma,House Committee on Ways and Means,True,15,2020-07-27,2024-06-04,313015.0,0.8310634894340807,0.6539781032938398,2021-12-07,4120000.0,17834632.880000003,2.0,290000.0,DEPARTMENT OF DEFENSE (DOD),0.11551175318315354,"MEDIUM — alignment present, award size/timing weaker"
C. Scott Franklin,GD,defense,House Committee on Appropriations,True,2,2024-08-02,2024-08-07,2002.0,0.825284154644338,0.818769494995769,2024-08-07,7805000.0,705150148.65,20.0,99350257.88,Department of Commerce,-0.041856739910157925,HIGH — verify against public record
Gilbert Cisneros,LMT,defense,House Committee on Armed Services,True,3,2025-04-29,2025-11-18,3003.0,0.8225889146794282,0.7072648556603985,2025-08-05,12991240.0,410415698.8399999,21.0,92505324.0,Department of Defense,0.043340183074911165,HIGH — verify against public record
Richard Dean Mccormick,LHX,defense,House Committee on Armed Services,True,2,2023-03-15,2025-11-05,2002.0,0.8224881684985413,0.7254799939162164,2023-03-15,1440000.0,139745352.47,8.0,56000000.0,Department of Commerce,-0.011554935750572759,HIGH — verify against public record
Tommy Tuberville,PFE,pharma,"Senate Committee on Health, Education, Labor, and Pensions",True,4,2022-01-12,2024-02-27,4004.0,0.8199540995978405,0.7033291293642805,2023-06-12,13815000.0,1328716.8400000003,1.0,586224.0,Department of Health and Human Services,-0.16867167919799486,"MEDIUM — alignment present, award size/timing weaker"
Gary Palmer,MSFT,fedtech,House Committee on Oversight and Government Reform,True,3,2017-04-04,2018-08-06,3003.0,0.8193876343932014,0.6449844818470879,2018-08-06,6845000.0,26819992.61,9.0,6229600.96,DEPARTMENT OF DEFENSE (DOD),0.003606769629150186,"MEDIUM — alignment present, award size/timing weaker"
