,Composite (all 3),Bottom 8 (composite),Lobbying only,Contracts only,Congress buys only,Hold all 32 (no signal),SPY
2015-01-31,10306.389323522091,11114.199272289334,10429.308049274461,10414.44697466827,10302.496165675444,10564.75771874736,10498.712361331221
2015-02-28,10085.27917396401,10799.556463626885,10160.129999277793,10174.383412353627,10187.69523899211,10329.270136468758,10223.355784469097
2015-03-31,10628.67947202723,10719.670265727294,10288.011990268229,10324.32427643977,10724.17596924674,10411.448615753408,10323.890649762281
2015-04-30,10676.302642179448,10726.969781755617,10232.777164741698,10284.870243873056,10823.95873080674,10458.615878566203,10477.912044374008
2015-05-31,10491.77091576366,10693.492224631576,9950.606394508759,10240.707490664054,10692.483979854323,10258.877379659494,10194.63153724247
2015-06-30,10500.03355884491,10682.34822085072,10322.235026143542,10841.334868748618,11132.280152075584,10520.171514994516,10424.920760697305
2015-07-31,9659.77137629246,10212.978992272254,9607.402492392439,10001.533156370115,10298.849203612619,9908.253527148505,9789.5206022187
2015-08-31,9462.384830291965,9751.54725181409,9483.0748321313,9558.095061253984,9997.809884675295,9588.27860863798,9490.392234548335
2015-09-30,10740.142760692881,11227.914864201412,10579.588441982663,10934.718253575835,11454.039722029076,10839.93549288361,10419.473058637082
2015-10-31,10417.853396314078,11330.617749209301,10304.63415739385,10910.73720150084,11081.898495042726,10735.146858900995,10335.281299524564
2015-11-30,10410.529501126477,11577.965022949593,10221.485037133862,11174.739226108339,11106.275207921888,10739.526532262333,10096.572900158479
2015-12-31,9899.875832706472,10511.746597230513,9804.453052531593,10247.614731202846,10540.33666831981,10131.266760170514,9590.431854199682
2016-01-31,9792.155183753324,10388.657865228424,9908.262178600458,10024.76618149716,10372.853147297228,10125.794015642628,9585.974643423138
2016-02-29,10356.349774315411,11870.804722616622,10299.495878146208,11016.878086184126,11102.309780148891,10923.370860504872,10178.288431061806
2016-03-31,10920.165120450638,11624.96205282524,10784.756963456783,11410.971253801657,11507.742846490959,11246.664555959882,10299.6236133122
2016-04-30,10985.578443273798,11330.358365215703,10792.563544304572,11453.949710804653,11783.574097679368,11223.647393592015,10392.234548335975
2016-05-31,11197.367346977217,11178.809958952213,11042.410071814038,11402.063774632667,11965.251337567559,11371.32272649919,10374.158082408872
2016-06-30,11376.663264923138,11646.995761270038,11119.211686226467,11622.927104743463,12328.67387042324,11648.741405864408,10743.858954041201
2016-07-31,11378.065848431143,11843.194627251507,10885.399316023671,11367.401515153817,12285.877929582774,11565.897167782487,10765.649762282088
2016-08-31,11419.469420490303,12001.03639792191,10809.53153412792,11589.712684046264,12425.09218948638,11612.287226821449,10712.163232963545
2016-09-30,11214.472048341733,11421.439684587142,10680.032652046735,11256.30962653178,12141.750335449173,11387.081412251253,10526.446117274165
2016-10-31,11233.817532224191,12984.876243974208,11330.229423045215,11994.522292871383,12180.50858637268,12004.732089557278,10914.223454833595
2016-11-30,11388.956869210278,13121.31755663638,11267.304144886693,12063.508806685611,12378.895846418794,12218.159676790397,11154.912836767033
2016-12-31,11317.481393296988,13126.696664396219,11344.566612332248,11966.48331174698,12284.112731439805,12194.375243926956,11268.324088748017
2017-01-31,11806.704047248311,13739.28878327681,11821.946543858116,12473.437032703243,12788.437940620086,12784.057115830541,11711.073692551503
2017-02-28,11778.552032365162,13564.312217220373,11863.523490503507,12501.58706168642,12650.851159592845,12565.609942560362,11674.920760697305
2017-03-31,12019.500023715787,13514.807980454372,12094.392254656672,12804.782891244702,12817.676343593734,12731.403609363195,11820.522979397781
2017-04-30,11943.081252138452,14486.869044200388,12300.064921707435,13124.429846192028,12867.558412894601,13243.408641599257,11957.210776545166
2017-05-31,12139.40996548289,14675.72169914365,12489.662728297195,13502.266941914631,13079.08432766937,13453.449706818934,11975.039619651347
2017-06-30,12614.868120241008,14737.769940991659,12945.470836171535,14068.652106345417,13593.553104173367,13870.519035688738,12221.17670364501
2017-07-31,12659.106716474582,15815.641925257954,13093.84375567966,14628.213442716049,13726.844673404587,14247.490059762338,12256.834389857371
2017-08-31,12932.963582918866,16790.425159599206,13590.148459843263,15805.643954830346,14028.331599801435,14891.013919573028,12496.038034865293
2017-09-30,13219.235340134659,16556.993958391107,14000.047937722184,15763.460755282695,14450.568871286108,15020.309303276814,12735.241679873216
2017-10-31,13592.036839600576,16562.526757271058,14472.52035002105,16375.205317168027,14988.125843458372,15441.789127328535,13124.504754358159
2017-11-30,13526.52902689346,17427.72864058985,14365.216496170287,17099.957407063015,15089.29434372955,15723.728658965116,13310.717115689378
2017-12-31,14526.777137313562,17583.750956073112,16013.577945673489,18425.918912074136,16323.356754525275,16591.8471535075,13960.974643423135
2018-01-31,14001.648638520723,17392.421398204395,16083.55910969255,18098.016012258344,15902.238684324988,16121.733959342811,13453.347860538825
2018-02-28,13304.89163196225,16998.0639036111,15100.090741140535,17281.57584045006,15011.874535923433,15415.766508957306,12751.089540412044
2018-03-31,13837.13679191092,17589.94143628016,15301.867275396788,17414.3712576615,15785.381249245198,16113.895262592458,13099.742472266242
2018-04-30,14068.61557299293,18222.8259881356,15600.509486266128,17801.773600580076,16065.838681291265,16380.725200439472,13418.185419968302
2018-05-31,13954.334385528464,17778.531972700108,15239.331425058723,17370.241966450518,16345.624214071819,16307.64795987051,13463.748019017432
2018-06-30,14519.925560495945,18926.898692753028,16090.872023813236,18171.833845557976,16771.88215024755,17089.0541188088,13932.745641838348
2018-07-31,14344.127874335933,19490.479494513238,16161.97022115111,18117.602576365705,17529.19231866693,17661.822512160332,14377.476228209189
