,mean_composite,total_return,sector
ABBV,0.18689838088919292,2.5079077429983525,pharma
ACN,-0.3519854034999407,1.2904578818594898,fedtech
AMZN,0.5793092858809238,13.336433725683868,fedtech
AVAV,-0.38511857214827927,6.86171032357473,defense
BA,0.4994441680624715,0.5335703541638179,defense
BAH,-0.8210646443257981,1.8569000679809649,fedtech
CVS,0.13979357646715107,-0.08566239531833308,pharma
CVX,0.4274084167201253,0.7521214406939469,energy
FSLR,-0.6119067370617841,5.6622691292875995,energy
GD,0.3084202472101186,1.491918895092565,defense
HII,-0.3729036723386759,1.5117362935344465,defense
IBM,-0.29643080049351506,1.1670718964415303,fedtech
JNJ,0.6727504555373834,1.216701378557969,pharma
KTOS,-0.7323728140898084,11.930753564154786,defense
LDOS,-1.0583089133232728,2.05331102079847,defense
LLY,-1.1659668174546565,14.095550285953411,pharma
LMT,0.4722922321812618,1.7280409866370885,defense
MRK,0.47339253001852066,0.8917542706964521,pharma
MSFT,1.2163717840364336,10.156007751937985,fedtech
NEE,-0.03047939029895863,2.0402471154719724,energy
NOC,0.2824771144833622,2.387273069916452,defense
ORCL,0.3013304190228991,4.814198687910029,fedtech
OXY,-0.23574138650397186,-0.2649700598802395,energy
PFE,0.5229597041168361,-0.19020537124802528,pharma
TXT,-0.010885254767192197,1.079136690647482,defense
UNH,0.10851997695219573,2.540497716469382,pharma
XOM,0.36325250136390713,0.6675597231524895,energy
